Ticket_ID,Priority,Issue_Category,Created_Time,Resolved_Time,Vendor_Name
TICK-1000,P2,Email Server Delay,2026-02-21 14:42:00,2026-02-22 00:22:57.842899,NetConnect Solutions
TICK-1001,P2,Printer Network Offline,2026-03-13 20:38:00,2026-03-14 06:00:32.962857,Internal IT Desk
TICK-1002,P1,Core Switch Failure,2026-03-24 22:10:00,2026-03-24 22:49:24.764391,NetConnect Solutions
TICK-1003,P3,Password Reset,2026-03-16 23:52:00,2026-03-17 11:20:31.612921,Malawi Cloud Partners
TICK-1004,P2,Email Server Delay,2026-01-24 02:21:00,2026-01-24 14:13:38.006030,NetConnect Solutions
TICK-1005,P1,Database Corruption,2026-02-22 01:23:00,2026-02-22 03:05:26.996303,NetConnect Solutions
TICK-1006,P3,Software Installation,2026-01-30 05:01:00,2026-01-30 17:18:14.801465,NetConnect Solutions
TICK-1007,P3,New Employee Onboarding Set,2026-03-05 20:32:00,2026-03-07 06:45:53.128968,InnoTech Hardware
TICK-1008,P3,New Employee Onboarding Set,2026-03-17 21:43:00,2026-03-18 07:03:42.310590,Malawi Cloud Partners
TICK-1009,P2,Email Server Delay,2026-03-30 16:26:00,2026-03-31 00:55:47.279364,NetConnect Solutions
TICK-1010,P3,Software Installation,2026-02-28 09:27:00,2026-02-28 20:49:53.162310,Malawi Cloud Partners
TICK-1011,P2,VPN Connectivity Issue,2026-03-01 15:14:00,2026-03-01 19:05:51.777437,NetConnect Solutions
TICK-1012,P3,New Employee Onboarding Set,2026-03-03 14:50:00,2026-03-03 20:41:03.476340,NetConnect Solutions
TICK-1013,P2,Printer Network Offline,2026-02-24 19:56:00,2026-02-25 07:12:39.082195,NetConnect Solutions
TICK-1014,P3,Software Installation,2026-01-03 04:50:00,2026-01-03 21:30:47.080578,InnoTech Hardware
TICK-1015,P2,VPN Connectivity Issue,2026-01-07 20:08:00,2026-01-07 23:40:20.252628,NetConnect Solutions
TICK-1016,P2,Email Server Delay,2026-02-08 17:03:00,2026-02-09 02:31:43.377747,Internal IT Desk
TICK-1017,P3,New Employee Onboarding Set,2026-03-30 13:49:00,2026-03-31 21:20:26.609251,Malawi Cloud Partners
TICK-1018,P3,Password Reset,2026-01-09 20:01:00,2026-01-10 08:45:04.919983,InnoTech Hardware
TICK-1019,P3,Software Installation,2026-03-25 14:59:00,2026-03-26 22:15:12.695042,NetConnect Solutions
TICK-1020,P3,New Employee Onboarding Set,2026-03-12 11:07:00,2026-03-13 20:55:39.109054,Internal IT Desk
TICK-1021,P1,Core Switch Failure,2026-02-16 02:13:00,2026-02-16 02:39:12.590432,Internal IT Desk
TICK-1022,P2,Printer Network Offline,2026-03-22 03:49:00,2026-03-22 06:18:16.208940,NetConnect Solutions
TICK-1023,P1,ERP System Down,2026-01-04 01:05:00,2026-01-04 01:15:26.060922,Internal IT Desk
TICK-1024,P3,Software Installation,2026-02-23 09:03:00,2026-02-24 04:53:40.879912,Malawi Cloud Partners
TICK-1025,P3,Software Installation,2026-02-23 17:25:00,2026-02-24 15:41:55.942109,Malawi Cloud Partners
TICK-1026,P3,Software Installation,2026-02-13 01:09:00,2026-02-13 13:41:41.656724,NetConnect Solutions
TICK-1027,P3,Password Reset,2026-03-03 03:13:00,2026-03-04 04:17:13.651353,Internal IT Desk
TICK-1028,P2,VPN Connectivity Issue,2026-02-17 14:07:00,2026-02-17 23:12:01.067162,Internal IT Desk
TICK-1029,P2,VPN Connectivity Issue,2026-03-19 22:59:00,2026-03-20 07:47:05.067783,NetConnect Solutions
TICK-1030,P3,New Employee Onboarding Set,2026-03-03 07:20:00,2026-03-03 16:24:31.308130,Internal IT Desk
TICK-1031,P3,New Employee Onboarding Set,2026-03-21 12:17:00,2026-03-21 17:13:09.287006,NetConnect Solutions
TICK-1032,P1,Core Switch Failure,2026-02-22 23:25:00,2026-02-23 00:01:43.993706,Internal IT Desk
TICK-1033,P3,Software Installation,2026-03-30 12:40:00,2026-03-31 18:50:29.801179,Malawi Cloud Partners
TICK-1034,P3,Password Reset,2026-01-29 14:44:00,2026-01-29 18:56:15.652422,Internal IT Desk
TICK-1035,P3,New Employee Onboarding Set,2026-03-06 06:08:00,2026-03-07 04:02:54.064778,NetConnect Solutions
TICK-1036,P2,VPN Connectivity Issue,2026-03-29 00:43:00,2026-03-29 08:06:59.473670,Internal IT Desk
TICK-1037,P1,Core Switch Failure,2026-01-08 23:10:00,2026-01-09 01:18:49.605796,InnoTech Hardware
